"date";"lead_name";"business";"area";"phone_or_link";"channel";"status";"next_action";"next_date";"notes";"lead_id"
"2026-03-05";"Abdul Rahman Al Bah Building Materials Trading Co LLC";"Abdul Rahman Al Bah Building Materials Trading Co LLC";"Sharjah";" 00971506262749";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-rahman-al-bah-bldg-mat-trdg-co-llc-151181";"UAE0975"
"2026-03-05";"Abdul Rahman Al Bah Building Materials Trading Co LLC";"Abdul Rahman Al Bah Building Materials Trading Co LLC";"Sharjah";" 00971581436585";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-rahman-al-bah-bldg-mat-trdg-co-llc-151181";"UAE0976"
"2026-03-05";"Abdul Rahman Al Bah Building Materials Trading Co LLC";"Abdul Rahman Al Bah Building Materials Trading Co LLC";"Sharjah";" 0097165432542";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-rahman-al-bah-bldg-mat-trdg-co-llc-151181";"UAE0977"
"2026-03-05";"Abdul Rahman Al Mouni Tyres Services";"Abdul Rahman Al Mouni Tyres Services";"Sharjah";" 00971557352549";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-rahman-al-mouni-tyres-services-123271";"UAE0978"
"2026-03-05";"Abdul Rahman Al Mouni Tyres Services";"Abdul Rahman Al Mouni Tyres Services";"Sharjah";" 0097165335484";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-rahman-al-mouni-tyres-services-123271";"UAE0979"
"2026-03-05";"Abdul Rahman Karrani &amp; Sons Co";"Abdul Rahman Karrani &amp; Sons Co";"Sharjah";" 0097165696607";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-rahman-karrani-sons-co-148783";"UAE0980"
"2026-03-05";"Abdul Razak Al Zarouni Chartered Accountants";"Abdul Razak Al Zarouni Chartered Accountants";"Sharjah";" 0097165626272";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-razak-al-zarouni-chartered-accountants-169835";"UAE0981"
"2026-03-05";"Abdul Razak Haji Grocery LLC";"Abdul Razak Haji Grocery LLC";"Sharjah";" 0097165311201";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-razak-haji-grocery-llc-166515";"UAE0982"
"2026-03-05";"Abdul Razzaq Auto Glass";"Abdul Razzaq Auto Glass";"Sharjah";" 00971551290385";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-razzaq-auto-glass-150001";"UAE0983"
"2026-03-05";"Abdul Saeed Abdul Hameed Scrap Metal Alum and Copper Scrap Tr";"Abdul Saeed Abdul Hameed Scrap Metal Alum and Copper Scrap Tr";"Sharjah";" 00971528149889";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-saeed-abdul-hameed-scrap-metal-alum-and-copper-scrap-tr-189176";"UAE0984"
"2026-03-05";"Abdul Saeed Abdul Hameed Scrap Metal Alum and Copper Scrap Tr";"Abdul Saeed Abdul Hameed Scrap Metal Alum and Copper Scrap Tr";"Sharjah";" 00971558203217";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-saeed-abdul-hameed-scrap-metal-alum-and-copper-scrap-tr-189176";"UAE0985"
"2026-03-05";"Anwar Al Bashaier Bldg Mat Tr Co LLC";"Anwar Al Bashaier Bldg Mat Tr Co LLC";"Sharjah";" 00971588500802";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-al-bashaier-trading-corp-116317";"UAE0986"
"2026-03-05";"Anwar Al Bashaier Bldg Mat Tr Co LLC";"Anwar Al Bashaier Bldg Mat Tr Co LLC";"Sharjah";" 0097165424462";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-al-bashaier-trading-corp-116317";"UAE0987"
"2026-03-05";"A-Test Group";"A-Test Group";"Sharjah";" 0097165345097";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-test-group-139586";"UAE0988"
